DATE,TRESJP
7/1/2015,1.21526E+12
8/1/2015,1.21619E+12
9/1/2015,1.2215E+12
10/1/2015,1.21607E+12
11/1/2015,1.20685E+12
12/1/2015,1.20702E+12
1/1/2016,1.22069E+12
2/1/2016,1.22371E+12
3/1/2016,1.2316E+12
4/1/2016,1.23082E+12
5/1/2016,1.22409E+12
6/1/2016,1.23285E+12
7/1/2016,1.23167E+12
8/1/2016,1.22378E+12
9/1/2016,1.22755E+12
10/1/2016,1.21144E+12
11/1/2016,1.19025E+12
12/1/2016,1.18833E+12
1/1/2017,1.20162E+12
2/1/2017,1.20134E+12
3/1/2017,1.19959E+12
4/1/2017,1.21102E+12
5/1/2017,1.2206E+12
6/1/2017,1.21917E+12
7/1/2017,1.22871E+12
8/1/2017,1.23559E+12
9/1/2017,1.2346E+12
10/1/2017,1.22953E+12
11/1/2017,1.22961E+12
12/1/2017,1.23224E+12
1/1/2018,1.2353E+12
2/1/2018,1.22919E+12
3/1/2018,1.23557E+12
4/1/2018,1.22357E+12
5/1/2018,1.22223E+12
6/1/2018,1.22778E+12
7/1/2018,1.22596E+12
8/1/2018,1.22945E+12
9/1/2018,1.23019E+12
10/1/2018,1.22271E+12
11/1/2018,1.22803E+12
12/1/2018,1.23894E+12
1/1/2019,1.24623E+12
2/1/2019,1.24889E+12
3/1/2019,1.25925E+12
4/1/2019,1.26126E+12
5/1/2019,1.2754E+12
6/1/2019,1.28686E+12
7/1/2019,1.28046E+12
8/1/2019,1.29312E+12
9/1/2019,1.28515E+12
10/1/2019,1.2864E+12
11/1/2019,1.28051E+12
12/1/2019,1.28497E+12
1/1/2020,1.30194E+12
2/1/2020,1.31809E+12
3/1/2020,1.32525E+12
4/1/2020,1.3239E+12
5/1/2020,1.3328E+12
6/1/2020,1.33614E+12
7/1/2020,1.35052E+12
8/1/2020,1.34673E+12
9/1/2020,1.33976E+12
10/1/2020,1.33446E+12
11/1/2020,1.3376E+12
12/1/2020,1.34428E+12
1/1/2021,1.34234E+12
2/1/2021,1.33267E+12
3/1/2021,1.31867E+12
4/1/2021,1.32654E+12
5/1/2021,1.33196E+12
6/1/2021,1.3247E+12
7/1/2021,1.33303E+12
8/1/2021,1.37112E+12
9/1/2021,1.35814E+12
10/1/2021,1.35262E+12
11/1/2021,1.35668E+12
12/1/2021,1.35624E+12
1/1/2022,1.3371E+12
2/1/2022,1.33263E+12
3/1/2022,1.30325E+12
4/1/2022,1.27021E+12
5/1/2022,1.27964E+12
6/1/2022,1.26183E+12
7/1/2022,1.27534E+12
8/1/2022,1.2454E+12
9/1/2022,1.19258E+12
10/1/2022,1.14999E+12
11/1/2022,1.17864E+12
12/1/2022,1.17828E+12
1/1/2023,1.1979E+12
2/1/2023,1.17642E+12
3/1/2023,1.20321E+12
4/1/2023,1.21149E+12
5/1/2023,1.20109E+12
6/1/2023,1.19517E+12
7/1/2023,1.20007E+12
8/1/2023,1.19834E+12
9/1/2023,1.18637E+12
