DATE,TRESDE
5/1/2019,60194842745
6/1/2019,60237121348
7/1/2019,60303158173
8/1/2019,61398428607
9/1/2019,59559637363
10/1/2019,59756239395
11/1/2019,59130964140
12/1/2019,59184533016
1/1/2020,60305474138
2/1/2020,61316121137
3/1/2020,60300414409
4/1/2020,61496724492
5/1/2020,61632871920
6/1/2020,62051749828
7/1/2020,62967078592
8/1/2020,62487094715
9/1/2020,62253709828
10/1/2020,62392246921
11/1/2020,62952620185
12/1/2020,63969346749
1/1/2021,64765417205
2/1/2021,64612737889
3/1/2021,63415559101
4/1/2021,63620351137
5/1/2021,64076717182
6/1/2021,63708972530
7/1/2021,63963349955
8/1/2021,1.00572E+11
9/1/2021,99513454944
10/1/2021,99843060109
11/1/2021,1.00395E+11
12/1/2021,99169059614
1/1/2022,98845378599
2/1/2022,1.002E+11
3/1/2022,99904358137
4/1/2022,97685419849
5/1/2022,98228220807
6/1/2022,97231791809
7/1/2022,96840013912
8/1/2022,95367523519
9/1/2022,94825592910
10/1/2022,95493393563
11/1/2022,97956740300
12/1/2022,98413683337
1/1/2023,99260201717
2/1/2023,97972894709
3/1/2023,99735438317
4/1/2023,99911819820
5/1/2023,98767279247
6/1/2023,99753703765
7/1/2023,1.00287E+11
8/1/2023,99389004220
9/1/2023,97780329417
