DATE,TRESCN
7/1/2015,3.66614E+12
8/1/2015,3.57264E+12
9/1/2015,3.52928E+12
10/1/2015,3.54051E+12
11/1/2015,3.45306E+12
12/1/2015,3.34519E+12
1/1/2016,3.24493E+12
2/1/2016,3.22333E+12
3/1/2016,3.23379E+12
4/1/2016,3.24087E+12
5/1/2016,3.2126E+12
6/1/2016,3.22602E+12
7/1/2016,3.22119E+12
8/1/2016,3.20521E+12
9/1/2016,3.1864E+12
10/1/2016,3.14057E+12
11/1/2016,3.07122E+12
12/1/2016,3.02978E+12
1/1/2017,3.01767E+12
2/1/2017,3.02453E+12
3/1/2017,3.02848E+12
4/1/2017,3.04909E+12
5/1/2017,3.07332E+12
6/1/2017,3.0763E+12
7/1/2017,3.09971E+12
8/1/2017,3.11083E+12
9/1/2017,3.12781E+12
10/1/2017,3.1282E+12
11/1/2017,3.13801E+12
12/1/2017,3.15888E+12
1/1/2018,3.18049E+12
2/1/2018,3.15333E+12
3/1/2018,3.16178E+12
4/1/2018,3.14358E+12
5/1/2018,3.12898E+12
6/1/2018,3.13152E+12
7/1/2018,3.13728E+12
8/1/2018,3.12912E+12
9/1/2018,3.10635E+12
10/1/2018,3.07249E+12
11/1/2018,3.08104E+12
12/1/2018,3.09188E+12
1/1/2019,3.1072E+12
2/1/2019,3.10944E+12
3/1/2019,3.11789E+12
4/1/2019,3.11401E+12
5/1/2019,3.11997E+12
6/1/2019,3.13828E+12
7/1/2019,3.12309E+12
8/1/2019,3.12644E+12
9/1/2019,3.11163E+12
10/1/2019,3.12458E+12
11/1/2019,3.11495E+12
12/1/2019,3.12749E+12
1/1/2020,3.13497E+12
2/1/2020,3.12593E+12
3/1/2020,3.07972E+12
4/1/2020,3.11131E+12
5/1/2020,3.12164E+12
6/1/2020,3.13289E+12
7/1/2020,3.17553E+12
8/1/2020,3.18574E+12
9/1/2020,3.16341E+12
10/1/2020,3.14889E+12
11/1/2020,3.19969E+12
12/1/2020,3.23878E+12
1/1/2021,3.23295E+12
2/1/2021,3.22725E+12
3/1/2021,3.19163E+12
4/1/2021,3.22001E+12
5/1/2021,3.24378E+12
6/1/2021,3.23572E+12
7/1/2021,3.25766E+12
8/1/2021,3.29531E+12
9/1/2021,3.26406E+12
10/1/2021,3.28174E+12
11/1/2021,3.28614E+12
12/1/2021,3.31392E+12
1/1/2022,3.28577E+12
2/1/2022,3.2781E+12
3/1/2022,3.25163E+12
4/1/2022,3.18204E+12
5/1/2022,3.1904E+12
6/1/2022,3.13319E+12
7/1/2022,3.16599E+12
8/1/2022,3.11634E+12
9/1/2022,3.08937E+12
10/1/2022,3.11322E+12
11/1/2022,3.17871E+12
12/1/2022,3.18969E+12
1/1/2023,3.24742E+12
2/1/2023,3.1956E+12
3/1/2023,3.24726E+12
4/1/2023,3.26824E+12
5/1/2023,3.23925E+12
6/1/2023,3.25481E+12
7/1/2023,3.26526E+12
8/1/2023,3.22272E+12
