DATE,TRESCA
1/1/2022,1.04402E+11
2/1/2022,1.02889E+11
3/1/2022,1.03764E+11
4/1/2022,1.05617E+11
5/1/2022,1.07893E+11
6/1/2022,1.06282E+11
7/1/2022,1.06637E+11
8/1/2022,1.07766E+11
9/1/2022,1.02771E+11
10/1/2022,1.03484E+11
11/1/2022,1.06164E+11
12/1/2022,1.06952E+11
1/1/2023,1.09602E+11
2/1/2023,1.08463E+11
3/1/2023,1.09654E+11
4/1/2023,1.14028E+11
5/1/2023,1.13514E+11
6/1/2023,1.13957E+11
7/1/2023,1.13995E+11
8/1/2023,1.14174E+11
9/1/2023,1.11939E+11
