iter	Passed	Remaining
340	2676	5171
341	2683	5162
342	2689	5150
343	2695	5140
344	2702	5131
345	2709	5122
346	2716	5112
347	2724	5103
348	2731	5094
349	2738	5085
350	2745	5076
351	2752	5066
352	2759	5057
353	2766	5047
354	2773	5038
355	2779	5028
356	2787	5020
357	2794	5011
358	2802	5003
359	2812	4999
360	2821	4994
361	2829	4986
362	2835	4976
363	2843	4967
364	2850	4958
365	2857	4949
366	2864	4940
367	2871	4931
368	2878	4922
369	2885	4913
370	2893	4905
371	2900	4896
372	2908	4889
373	2915	4880
374	2923	4873
375	2931	4865
376	2939	4858
377	2947	4850
378	2956	4843
379	2963	4835
380	2971	4828
381	2979	4820
382	2987	4813
383	2995	4805
384	3002	4796
385	3010	4788
386	3018	4780
387	3025	4772
388	3033	4764
389	3041	4757
390	3048	4748
391	3057	4741
392	3064	4733
393	3072	4725
394	3080	4718
395	3089	4711
396	3096	4703
397	3104	4695
398	3112	4687
399	3119	4679
400	3127	4671
401	3133	4661
402	3140	4652
403	3148	4644
404	3155	4636
405	3163	4628
406	3171	4620
407	3178	4612
408	3186	4604
409	3193	4596
410	3201	4588
411	3209	4580
412	3216	4571
413	3223	4562
414	3231	4554
415	3238	4545
416	3245	4536
417	3252	4528
418	3259	4519
419	3266	4510
420	3273	4502
421	3281	4494
422	3288	4485
423	3295	4476
424	3302	4467
425	3309	4459
426	3317	4452
427	3325	4444
428	3333	4436
429	3341	4429
430	3348	4421
431	3356	4412
432	3363	4403
433	3370	4395
434	3377	4386
435	3384	4378
436	3391	4369
437	3398	4360
438	3405	4351
439	3412	4343
440	3419	4334
441	3426	4326
442	3434	4317
443	3440	4308
444	3448	4301
445	3455	4292
446	3463	4284
447	3470	4276
448	3477	4268
449	3485	4260
450	3493	4252
451	3501	4244
452	3508	4236
453	3516	4229
454	3524	4221
455	3531	4213
456	3539	4205
457	3547	4197
458	3554	4189
459	3562	4181
460	3569	4173
461	3577	4165
462	3584	4157
463	3592	4149
464	3600	4142
465	3607	4133
466	3614	4125
467	3621	4116
468	3628	4108
469	3635	4100
470	3642	4091
471	3650	4083
472	3657	4074
473	3664	4066
474	3671	4057
475	3678	4049
476	3685	4040
477	3692	4032
478	3699	4023
479	3706	4015
480	3713	4006
481	3720	3998
482	3727	3989
483	3734	3981
484	3741	3972
485	3748	3964
486	3755	3955
487	3761	3946
488	3768	3938
489	3775	3930
490	3782	3921
491	3789	3913
492	3797	3905
493	3804	3896
494	3811	3888
495	3818	3879
496	3825	3871
497	3832	3863
498	3839	3854
499	3846	3846
500	3854	3838
501	3860	3830
502	3867	3821
503	3874	3812
504	3882	3805
505	3888	3796
506	3896	3789
507	3904	3781
508	3912	3774
509	3920	3766
510	3927	3758
511	3935	3750
512	3943	3743
513	3951	3735
514	3959	3728
515	3966	3720
516	3974	3713
517	3987	3710
518	3998	3705
519	4008	3699
520	4016	3692
521	4025	3686
522	4034	3679
523	4042	3672
524	4049	3663
525	4057	3655
526	4064	3648
527	4071	3639
528	4079	3632
529	4087	3624
530	4094	3616
531	4101	3608
532	4109	3600
533	4116	3592
534	4123	3583
535	4130	3575
536	4137	3567
537	4145	3559
538	4151	3551
539	4159	3543
540	4167	3535
541	4174	3527
542	4181	3519
543	4188	3510
544	4195	3502
545	4202	3494
546	4209	3486
547	4216	3478
548	4223	3469
549	4230	3461
550	4237	3453
551	4244	3444
552	4251	3436
553	4258	3428
554	4265	3420
555	4272	3412
556	4280	3404
557	4287	3395
558	4294	3387
559	4302	3380
560	4310	3372
561	4317	3365
562	4325	3357
563	4333	3349
564	4340	3341
565	4347	3333
566	4355	3325
567	4362	3317
568	4370	3310
569	4377	3302
570	4384	3294
571	4392	3286
572	4401	3279
573	4409	3272
574	4416	3264
575	4424	3256
576	4431	3248
577	4439	3240
578	4446	3233
579	4454	3225
580	4461	3217
581	4469	3210
582	4476	3202
583	4484	3194
584	4491	3186
585	4498	3178
586	4505	3170
587	4512	3162
588	4520	3154
589	4527	3146
590	4534	3138
591	4542	3130
592	4549	3122
593	4556	3114
594	4563	3106
595	4570	3098
596	4577	3090
597	4584	3082
598	4591	3073
599	4599	3066
600	4606	3058
601	4613	3050
602	4620	3041
603	4627	3033
604	4634	3025
605	4641	3017
606	4647	3009
607	4655	3001
608	4661	2993
609	4668	2984
610	4675	2976
611	4682	2968
612	4689	2960
613	4696	2952
614	4703	2944
615	4710	2936
616	4717	2928
617	4725	2920
618	4732	2912
619	4739	2904
620	4745	2896
621	4752	2888
622	4760	2880
623	4767	2872
624	4774	2864
625	4781	2856
626	4788	2848
627	4795	2840
628	4802	2832
629	4810	2825
630	4817	2817
631	4824	2808
632	4831	2801
633	4841	2795
634	4851	2788
635	4859	2781
636	4866	2773
637	4873	2765
638	4881	2757
639	4888	2749
640	4895	2741
641	4902	2733
642	4909	2725
643	4916	2717
644	4923	2709
645	4930	2701
646	4938	2694
647	4945	2686
648	4953	2679
649	4961	2671
650	4967	2663
651	4974	2655
652	4981	2647
653	4988	2639
654	4995	2631
655	5002	2623
656	5010	2615
657	5017	2607
658	5024	2599
659	5030	2591
660	5037	2583
661	5044	2575
662	5051	2567
663	5058	2559
664	5065	2552
665	5073	2544
666	5080	2536
667	5087	2528
668	5093	2520
669	5100	2512
670	5107	2504
671	5114	2496
672	5121	2488
673	5128	2480
674	5135	2472
675	5142	2464
676	5149	2456
677	5156	2449
678	5163	2441
679	5171	2433
680	5177	2425
681	5184	2417
682	5191	2409
683	5198	2401
684	5205	2393
685	5212	2386
686	5220	2378
687	5226	2370
688	5233	2362
689	5240	2354
690	5248	2346
691	5255	2339
692	5262	2331
693	5269	2323
694	5276	2315
695	5284	2308
696	5292	2300
697	5300	2293
698	5308	2285
699	5316	2278
700	5324	2270
701	5331	2263
702	5338	2255
703	5345	2247
704	5352	2239
705	5359	2231
706	5366	2223
707	5373	2216
708	5380	2208
709	5387	2200
710	5394	2192
711	5401	2184
712	5408	2176
713	5415	2169
714	5422	2161
715	5429	2153
716	5436	2145
717	5443	2137
718	5450	2130
719	5457	2122
720	5464	2114
721	5472	2107
722	5479	2099
723	5487	2091
724	5494	2084
725	5502	2076
726	5509	2069
727	5517	2061
728	5525	2054
729	5533	2046
730	5540	2038
731	5548	2031
732	5556	2024
733	5564	2016
734	5572	2009
735	5580	2001
736	5587	1994
737	5595	1986
738	5602	1978
739	5610	1971
740	5618	1963
741	5626	1956
742	5634	1948
743	5641	1941
744	5649	1933
745	5656	1926
746	5663	1918
747	5671	1910
748	5679	1903
749	5687	1895
750	5695	1888
751	5703	1881
752	5711	1873
753	5719	1866
754	5726	1858
755	5734	1850
756	5742	1843
757	5749	1835
758	5757	1828
759	5764	1820
760	5771	1812
761	5778	1804
762	5785	1797
763	5792	1789
764	5800	1781
765	5808	1774
766	5815	1766
767	5823	1759
768	5830	1751
769	5837	1743
770	5844	1735
771	5851	1728
772	5858	1720
773	5865	1712
774	5873	1705
775	5880	1697
776	5887	1689
777	5894	1681
778	5902	1674
779	5909	1666
780	5916	1659
781	5923	1651
782	5930	1643
783	5937	1635
784	5944	1628
785	5952	1620
786	5959	1612
787	5966	1605
788	5973	1597
789	5980	1589
790	5987	1581
791	5994	1574
792	6001	1566
793	6008	1558
794	6015	1551
795	6022	1543
796	6029	1535
797	6035	1527
798	6043	1520
799	6050	1512
800	6057	1504
801	6065	1497
802	6072	1489
803	6079	1482
804	6087	1474
805	6094	1466
806	6101	1459
807	6108	1451
808	6117	1444
809	6124	1436
810	6132	1429
811	6139	1421
812	6146	1413
813	6153	1406
814	6160	1398
815	6167	1390
816	6174	1383
817	6182	1375
818	6189	1367
819	6196	1360
820	6203	1352
821	6210	1344
822	6217	1337
823	6224	1329
824	6231	1321
825	6238	1314
826	6245	1306
827	6252	1298
828	6259	1291
829	6266	1283
830	6274	1276
831	6282	1268
832	6289	1260
833	6297	1253
834	6304	1245
835	6312	1238
836	6319	1230
837	6326	1223
838	6334	1215
839	6342	1208
840	6349	1200
841	6356	1192
842	6364	1185
843	6370	1177
844	6378	1169
845	6384	1162
846	6392	1154
847	6399	1147
848	6406	1139
849	6413	1131
850	6420	1124
851	6428	1116
852	6435	1109
853	6442	1101
854	6450	1093
855	6457	1086
856	6464	1078
857	6470	1070
858	6477	1063
859	6485	1055
860	6492	1048
861	6499	1040
862	6506	1032
863	6513	1025
864	6520	1017
865	6527	1010
866	6534	1002
867	6541	994
868	6548	987
869	6555	979
870	6562	971
871	6570	964
872	6577	956
873	6584	949
874	6591	941
875	6598	934
876	6605	926
877	6612	918
878	6619	911
879	6626	903
880	6634	896
881	6641	888
882	6648	880
883	6655	873
884	6662	865
885	6669	858
886	6676	850
887	6683	842
888	6690	835
889	6696	827
890	6703	820
891	6711	812
892	6718	804
893	6725	797
894	6732	789
895	6738	782
896	6746	774
897	6753	767
898	6760	759
899	6767	751
900	6774	744
901	6781	736
902	6788	729
903	6795	721
904	6802	714
905	6810	706
906	6817	698
907	6824	691
908	6831	683
909	6838	676
910	6845	668
911	6851	661
912	6858	653
913	6865	646
914	6873	638
915	6880	630
916	6887	623
917	6894	615
918	6901	608
919	6908	600
920	6915	593
921	6923	585
922	6930	578
923	6937	570
924	6944	563
925	6952	555
926	6959	548
927	6967	540
928	6974	533
929	6981	525
930	6988	517
931	6995	510
932	7002	502
933	7010	495
934	7017	487
935	7024	480
936	7031	472
937	7038	465
938	7045	457
939	7052	450
940	7059	442
941	7067	435
942	7074	427
943	7081	420
944	7088	412
945	7095	405
946	7102	397
947	7109	389
948	7116	382
949	7123	374
950	7130	367
951	7138	359
952	7145	352
953	7152	344
954	7159	337
955	7166	329
956	7173	322
957	7181	314
958	7188	307
959	7195	299
960	7202	292
961	7209	284
962	7216	277
963	7223	269
964	7230	262
965	7237	254
966	7244	247
967	7251	239
968	7259	232
969	7267	224
970	7275	217
971	7282	209
972	7290	202
973	7297	194
974	7305	187
975	7313	179
976	7324	172
977	7333	164
978	7341	157
979	7348	149
980	7355	142
981	7362	134
982	7372	127
983	7381	120
984	7390	112
985	7399	105
986	7408	97
987	7418	90
988	7428	82
989	7437	75
990	7446	67
991	7454	60
992	7463	52
993	7472	45
994	7480	37
995	7489	30
996	7498	22
997	7507	15
998	7516	7
999	7524	0
